BuiltMolecule,bond_lenght,bond_Angle,DFT-b3lyp,NN-Functional.DM21m
cc-pVDZ,0.94,101,-76.38165354,
cc-pVDZ,0.94,102,-76.38178334,
cc-pVDZ,0.94,103,-76.38186027,
cc-pVDZ,0.94,104,-76.38188531,
cc-pVDZ,0.94,105,-76.38185947,
cc-pVDZ,0.94,106,-76.38178376,
cc-pVDZ,0.94,107,-76.38165924,
cc-pVDZ,0.94,108,-76.38148697,
cc-pVDZ,0.94,109,-76.38126807,
cc-pVDZ,0.94,110,-76.38100364,
cc-pVDZ,0.94,111,-76.38069484,
cc-pVDZ,0.94,112,-76.38034283,
cc-pVDZ,0.94,113,-76.37994879,
cc-pVDZ,0.96,95,-76.38157949,
cc-pVDZ,0.96,96,-76.38199446,
cc-pVDZ,0.96,97,-76.38235187,
cc-pVDZ,0.96,98,-76.38265259,
cc-pVDZ,0.96,99,-76.38289753,
cc-pVDZ,0.96,100,-76.3830876,
cc-pVDZ,0.96,101,-76.38322372,
cc-pVDZ,0.96,102,-76.38330683,
cc-pVDZ,0.96,103,-76.38333787,
cc-pVDZ,0.96,104,-76.38331782,
cc-pVDZ,0.96,105,-76.38324765,
cc-pVDZ,0.96,106,-76.38312837,
cc-pVDZ,0.96,107,-76.38296101,
cc-pVDZ,0.96,108,-76.38274662,
cc-pVDZ,0.96,109,-76.38248627,
cc-pVDZ,0.96,110,-76.38218107,
cc-pVDZ,0.96,111,-76.38183212,
cc-pVDZ,0.96,112,-76.38144057,
cc-pVDZ,0.96,113,-76.38100756,
cc-pVDZ,0.98,95,-76.38186913,
cc-pVDZ,0.98,96,-76.38223426,
cc-pVDZ,0.98,97,-76.3825428,
cc-pVDZ,0.98,98,-76.38279562,
cc-pVDZ,0.98,99,-76.38299359,
cc-pVDZ,0.98,100,-76.38313759,
cc-pVDZ,0.98,101,-76.38322854,
cc-pVDZ,0.98,102,-76.38326733,
cc-pVDZ,0.98,103,-76.38325491,
cc-pVDZ,0.98,104,-76.38319222,
cc-pVDZ,0.98,105,-76.38308023,
cc-pVDZ,0.98,106,-76.38291991,
cc-pVDZ,0.98,107,-76.38271228,
cc-pVDZ,0.98,108,-76.38245834,
cc-pVDZ,0.98,109,-76.38215915,
cc-pVDZ,0.98,110,-76.38181576,
cc-pVDZ,0.98,111,-76.38142924,
cc-pVDZ,0.98,112,-76.3810007,
cc-pVDZ,0.98,113,-76.38053124,
cc-pVDZ,1,95,-76.38078537,
cc-pVDZ,1,96,-76.38110297,
cc-pVDZ,1,97,-76.38136501,
cc-pVDZ,1,98,-76.38157233,
cc-pVDZ,1,99,-76.38172579,
cc-pVDZ,1,100,-76.38182624,
cc-pVDZ,1,101,-76.38187456,
cc-pVDZ,1,102,-76.38187165,
cc-pVDZ,1,103,-76.3818184,
cc-pVDZ,1,104,-76.38171575,
cc-pVDZ,1,105,-76.38156462,
cc-pVDZ,1,106,-76.38136596,
cc-pVDZ,1,107,-76.38112074,
cc-pVDZ,1,108,-76.38082996,
cc-pVDZ,1,109,-76.3804946,
cc-pVDZ,1,110,-76.38011569,
cc-pVDZ,1,111,-76.37969425,
cc-pVDZ,1,112,-76.37923135,
cc-pVDZ,1,113,-76.37872804,
cc-pVDZ,1.02,95,-76.37850939,
cc-pVDZ,1.02,96,-76.37878196,
cc-pVDZ,1.02,97,-76.37900004,
cc-pVDZ,1.02,98,-76.37916446,
cc-pVDZ,1.02,99,-76.37927604,
cc-pVDZ,1.02,100,-76.37933561,
cc-pVDZ,1.02,101,-76.37934404,
cc-pVDZ,1.02,102,-76.37930217,
cc-pVDZ,1.02,103,-76.37921088,
cc-pVDZ,1.02,104,-76.37907105,
cc-pVDZ,1.02,105,-76.37888358,
cc-pVDZ,1.02,106,-76.37864938,
cc-pVDZ,1.02,107,-76.37836937,
cc-pVDZ,1.02,108,-76.37804451,
cc-pVDZ,1.02,109,-76.37767574,
cc-pVDZ,1.02,110,-76.37726404,
cc-pVDZ,1.02,111,-76.3768104,
cc-pVDZ,1.02,112,-76.37631581,
cc-pVDZ,1.02,113,-76.37578129,
cc-pVDZ,1.04,95,-76.37520119,
cc-pVDZ,1.04,96,-76.37543137,
cc-pVDZ,1.04,97,-76.37560819,
cc-pVDZ,1.04,98,-76.37573244,
cc-pVDZ,1.04,99,-76.3758049,
cc-pVDZ,1.04,100,-76.3758264,
cc-pVDZ,1.04,101,-76.37579773,
cc-pVDZ,1.04,102,-76.37571974,
cc-pVDZ,1.04,103,-76.37559325,
cc-pVDZ,1.04,104,-76.3754191,
cc-pVDZ,1.04,105,-76.37519815,
cc-pVDZ,1.04,106,-76.37493125,
cc-pVDZ,1.04,107,-76.3746193,
cc-pVDZ,1.04,108,-76.37426318,
cc-pVDZ,1.04,109,-76.37386381,
cc-pVDZ,1.04,110,-76.3734221,
cc-pVDZ,1.04,111,-76.37293899,
cc-pVDZ,1.04,112,-76.37241541,
cc-pVDZ,1.04,113,-76.37185231,
cc-pVDZ,1.06,95,-76.37100195,
cc-pVDZ,1.06,96,-76.37119252,
cc-pVDZ,1.06,97,-76.37133088,
cc-pVDZ,1.06,98,-76.37141778,
cc-pVDZ,1.06,99,-76.37145398,
cc-pVDZ,1.06,100,-76.37144025,
cc-pVDZ,1.06,101,-76.37137737,
cc-pVDZ,1.06,102,-76.37126612,
cc-pVDZ,1.06,103,-76.3711073,
cc-pVDZ,1.06,104,-76.3709017,
cc-pVDZ,1.06,105,-76.37065013,
cc-pVDZ,1.06,106,-76.37035341,
cc-pVDZ,1.06,107,-76.37001236,
cc-pVDZ,1.06,108,-76.36962782,
cc-pVDZ,1.06,109,-76.36920063,
cc-pVDZ,1.06,110,-76.36873167,
cc-pVDZ,1.06,111,-76.36822179,
cc-pVDZ,1.06,112,-76.36767187,
cc-pVDZ,1.06,113,-76.3670828,
